id,path,text_spt,text_original,ref_normalized,hyp_normalized,wer,sequence_similarity,duration,sentence_checked
10,09486.wav,"o'qish shart. I preferably, haqiqatdan bilim beradigan joyda o'qish shart. Nimaga? Bu","o'qish shart. I preferably, aa, haqiqatdan bilim beradigan joyda o'qish shart. Nimaga? Bu",o'qish shart i preferably haqiqatdan bilim beradigan joyda o'qish shart nimaga bu,o'qish shart i preferably aa haqiqatdan bilim beradigan joyda o'qish shart nimaga bu,0.0833,0.9818,9.68,"o'qish shart va preferably, haqiqatdan bilim beradigan joyda o'qish shart. Nimaga? Bu"
11,11061.wav,"Endi lekin u odam masalan, data science'ga o'taman desa, unga masalan o'sha o'tish menimcha qiyin bo'lmaydi, chunki unda programming background, o'sha programma anaqasi bor.","Endi lekin u odam masalan data sciencega o'taman desa, unga masalan o'sha o'tish menimcha qiyin bo'lmaydi, chunki unda programming background, o'sha programma anaqasi bor.",endi lekin u odam masalan data science'ga o'taman desa unga masalan o'sha o'tish menimcha qiyin bo'lmaydi chunki unda programming background o'sha programma anaqasi bor,endi lekin u odam masalan data sciencega o'taman desa unga masalan o'sha o'tish menimcha qiyin bo'lmaydi chunki unda programming background o'sha programma anaqasi bor,0.0417,0.997,9.5306875,"Endi lekin u odam masalan, data sciencega o'taman desa, unga masalan o'sha o'tish menimcha qiyin bo'lmaydi, chunki unda programming background, o'sha programma anaqasi bor."
12,03808.wav,"I remember when you when you when we first started training AI on GPUs, that was like the start of the curve essentially. And then now all of a sudden we have things just like accelerate.","I remember when you when you when we first started training AI on GPUs, that was like the start of the curve, essentially. And then now all of a sudden we have things just like accelerate. Um...",i remember when you when you when we first started training ai on gpus that was like the start of the curve essentially and then now all of a sudden we have things just like accelerate,i remember when you when you when we first started training ai on gpus that was like the start of the curve essentially and then now all of a sudden we have things just like accelerate um,0.0278,0.9919,13.06,
13,13156.wav,"baribir kirganingiz yarasha arziydigan narsa Yo'q, arziydigan narsa obezatelni bo'lgan, lekin ko'ryapsiz-ku, masalan, agar IT sohasiga ketmoqchi bo'lganimda, balki men boshqacharoq yo'nalish tanlardim yoki men balki chetga harakat qilardim.","Baribir kirganingiz yarasha arziydigan narsa. Yo'q, arziydigan narsa obyazatelno bo'lgan, lekin ko'ryapsiz-ku, masalan agar IT sohasida ketmoqchi bo'lganimda, balki men boshqacharoq yo'nalish tanlardim yoki men balki chetga harakat qilardim.",baribir kirganingiz yarasha arziydigan narsa yo'q arziydigan narsa obezatelni bo'lgan lekin ko'ryapsiz-ku masalan agar it sohasiga ketmoqchi bo'lganimda balki men boshqacharoq yo'nalish tanlardim yoki men balki chetga harakat qilardim,baribir kirganingiz yarasha arziydigan narsa yo'q arziydigan narsa obyazatelno bo'lgan lekin ko'ryapsiz-ku masalan agar it sohasida ketmoqchi bo'lganimda balki men boshqacharoq yo'nalish tanlardim yoki men balki chetga harakat qilardim,0.069,0.9595,14.992,"baribir kirganingiz yarasha arziydigan narsa Yo'q, arziydigan narsa obezatelno bo'lgan, lekin ko'ryapsiz-ku, masalan, agar IT sohasida ketmoqchi bo'lganimda, balki men boshqacharoq yo'nalish tanlardim yoki men balki chetga harakat qilardim."
14,02432.wav,"moyilligi bo'lmaydi, qobiliyati bo'lmasligi mumkin. Har kimda ham shu kompyuter sohasi yoki meditsina yoki biror bir har qanday sohaga tabiatan unga moyillik bo'lmasligi mumkin, lekin moyilligi bo'lishi ham mumkin. Buni aniqlash juda ham qiyin.","moyilligi bo'lmaydi, qobiliyati bo'lmasligi mumkin. Har kimda ham shu kompyuter sohasi yoki meditsina yoki shu biron bir har qanday sohaga tabiatan unga moyillik bo'lmasligi mumkin. Lekin moyilligi bo'lishi ham mumkin. Buni aniqlash juda ham qiyin.",moyilligi bo'lmaydi qobiliyati bo'lmasligi mumkin har kimda ham shu kompyuter sohasi yoki meditsina yoki biror bir har qanday sohaga tabiatan unga moyillik bo'lmasligi mumkin lekin moyilligi bo'lishi ham mumkin buni aniqlash juda ham qiyin,moyilligi bo'lmaydi qobiliyati bo'lmasligi mumkin har kimda ham shu kompyuter sohasi yoki meditsina yoki shu biron bir har qanday sohaga tabiatan unga moyillik bo'lmasligi mumkin lekin moyilligi bo'lishi ham mumkin buni aniqlash juda ham qiyin,0.0588,0.971,16.8693125,"moyilligi bo'lmaydi, qobiliyati bo'lmasligi mumkin. Har kimda ham shu kompyuter sohasi yoki meditsina yoki biron-bir har qanday sohaga tabiatan unga moyillik bo'lmasligi mumkin, lekin moyilligi bo'lishi ham mumkin. Buni aniqlash juda ham qiyin."
15,12485.wav,"Yo'q, endi bir xillar misol uchun aytadi, buni umumiy ta'lim-tarbiya, odamgarchilik tomondan yaxshi tomon deydi. Ba'zilar bo'lsa buni qaysidir darajada","Yo'q, endi u bir xillar misol uchun aytadi, buni umumiy ta'lim-tarbiya, odamgarchilik tomonidan yaxshi tomon deydi. Ba'zilar bo'lsa, buni qaysidir darajada...",yo'q endi bir xillar misol uchun aytadi buni umumiy ta'lim-tarbiya odamgarchilik tomondan yaxshi tomon deydi ba'zilar bo'lsa buni qaysidir darajada,yo'q endi u bir xillar misol uchun aytadi buni umumiy ta'lim-tarbiya odamgarchilik tomonidan yaxshi tomon deydi ba'zilar bo'lsa buni qaysidir darajada,0.1,0.9899,13.2,"Yo'q, endi bir xillar misol uchun aytadi, buni umumiy ta'lim-tarbiya, odamgarchilik tomonidan yaxshi tomon deydi. Ba'zilar bo'lsa buni qaysidir darajada"
16,04083.wav,"Xo'p, endi mana Mohir AI haqida gaplashamiz. Mohir AI o'zi nima? Mohir AI bu yerda bizlarda bir qancha modellar bor. Xo'p, bularni ko'rib chiqamiz.","Xo'p, endi mana Mohir AI haqida gaplashamiz. Mohir AI o'zi nima? Mohir AI bu yerda bizda bir qancha modellar bor. Xo'p, bularni ko'rib chiqamiz.",xo'p endi mana mohir ai haqida gaplashamiz mohir ai o'zi nima mohir ai bu yerda bizlarda bir qancha modellar bor xo'p bularni ko'rib chiqamiz,xo'p endi mana mohir ai haqida gaplashamiz mohir ai o'zi nima mohir ai bu yerda bizda bir qancha modellar bor xo'p bularni ko'rib chiqamiz,0.0417,0.9892,11.4506875,"Xo'p, endi mana Mohir AI haqida gaplashamiz. Mohir AI o'zi nima? Mohir AI bu yerda bizlarda bir qancha modellar bor. Xo'p, bularni ko'rib chiqamiz."
17,17077.wav,"light color, chunki bu yerda true ko'rsatib o'tilgan, lekin body nuqta dark va banner ko'rinishida esa bu false ko'rsatilgan va bu yerda mana ko'rishingiz mumkin, bu ikkalasi quyidagi dark o'zgaruvchilarga tegishliligini ko'rib turibmiz. Demak, if","light color, chunki bu yerda true ko'rsatib o'tilgan, lekin body nuqta dark va banner ko'rinishda esa bu false ko'rsatilgan va bu yerda mana ko'rishingiz mumkin, bu ikkalasi quyidagi dark o'zgaruvchilarga tegishliligini ko'rib turibmiz. Demak, if",light color chunki bu yerda true ko'rsatib o'tilgan lekin body nuqta dark va banner ko'rinishida esa bu false ko'rsatilgan va bu yerda mana ko'rishingiz mumkin bu ikkalasi quyidagi dark o'zgaruvchilarga tegishliligini ko'rib turibmiz demak if,light color chunki bu yerda true ko'rsatib o'tilgan lekin body nuqta dark va banner ko'rinishda esa bu false ko'rsatilgan va bu yerda mana ko'rishingiz mumkin bu ikkalasi quyidagi dark o'zgaruvchilarga tegishliligini ko'rib turibmiz demak if,0.0286,0.9979,17.62,"light color, chunki bu yerda true ko'rsatib o'tilgan, lekin body nuqta dark va banner ko'rinishida esa bu false ko'rsatilgan va bu yerda mana ko'rishingiz mumkin, bu ikkalasi quyidagi dark o'zgaruvchilarga tegishliligini ko'rib turibmiz. Demak, if"
18,09638.wav,"o'zgaruvchi desak ham bo'ladi. O'zgaruvchilarga bog'liq, ya'ni sizni finansaviy, moliyaviy tarafingiz, agar sizni moliyaviy tarafingiz ko'tarsa,","o'zgaruvchi desak ham bo'ladi, o'zgaruvchilarga bog'liq, ya'ni sizni finansoviy moliyaviy tarafingiz, agar sizni moliyaviy tarafingiz ko'tarsa,",o'zgaruvchi desak ham bo'ladi o'zgaruvchilarga bog'liq ya'ni sizni finansaviy moliyaviy tarafingiz agar sizni moliyaviy tarafingiz ko'tarsa,o'zgaruvchi desak ham bo'ladi o'zgaruvchilarga bog'liq ya'ni sizni finansoviy moliyaviy tarafingiz agar sizni moliyaviy tarafingiz ko'tarsa,0.0625,0.9928,12.016,"o'zgaruvchi desak ham bo'ladi, o'zgaruvchilarga bog'liq, ya'ni sizni finansoviy moliyaviy tarafingiz, agar sizni moliyaviy tarafingiz ko'tarsa,"
19,05601.wav,"Bu boshqaruv elementlarini qo'shish, ya'ni boshqaruv elementlariga ega bo'lgan karusel yaratish bo'lar ekan. Uning uchun quyidagi misolni ko'chirib olamiz, bu yerga joylab, har doimgidek karusel uchun","boshqaruv elementlarini qo'shish, ya'ni boshqaruv elementlariga ega bo'lgan karusel yaratish bo'lar ekan. Uning uchun quyidagi misolni ko'chirib olamiz. Bu yerga joylab, har doimgidek karusel uchun",bu boshqaruv elementlarini qo'shish ya'ni boshqaruv elementlariga ega bo'lgan karusel yaratish bo'lar ekan uning uchun quyidagi misolni ko'chirib olamiz bu yerga joylab har doimgidek karusel uchun,boshqaruv elementlarini qo'shish ya'ni boshqaruv elementlariga ega bo'lgan karusel yaratish bo'lar ekan uning uchun quyidagi misolni ko'chirib olamiz bu yerga joylab har doimgidek karusel uchun,0.0385,0.9923,13.98,"Bu boshqaruv elementlarini qo'shish, ya'ni boshqaruv elementlariga ega bo'lgan karusel yaratish bo'lar ekan. Uning uchun quyidagi misolni ko'chirib olamiz, bu yerga joylab, har doimgidek karusel uchun"
20,19932.wav,"qildik o'zimiz, o'shani qilib, shu narsani qo'lbola qilib qildik. Shu narsani o'zi bizni ish jarayonimizni bir necha bor tezlashishiga, osonlashishiga olib keldi.","qildik o'zimiz ruchnoy qilib shu narsani qo'lbola qilib qildik. Shu narsani o'zi bizni ish jarayonimizni bir necha bor tezlashishiga, osonlashishiga olib keldi.",qildik o'zimiz o'shani qilib shu narsani qo'lbola qilib qildik shu narsani o'zi bizni ish jarayonimizni bir necha bor tezlashishiga osonlashishiga olib keldi,qildik o'zimiz ruchnoy qilib shu narsani qo'lbola qilib qildik shu narsani o'zi bizni ish jarayonimizni bir necha bor tezlashishiga osonlashishiga olib keldi,0.0455,0.9618,12.9173125,"qildik o'zimiz ruchnoy qilib shu narsani qo'lbola qilib qildik. Shu narsani o'zi bizni ish jarayonimizni bir necha bor tezlashishiga, osonlashishiga olib keldi."
21,04791.wav,"Yo bu menga bo'lmaydi, front-endchi bo'laman ekan. Har xil shunaqa yurib ko'rganmisiz demoqchiman. Yoki shu bitta tanladingiz bo'ldi, o'shanda ketdingiz.","yo bu menga bo'lmaydi, front endchi bo'laman ekan. Har xil shunaqa yurib ko'rganmisiz demoqchiman. Yoki shu bitta tanladingiz, bo'ldi, o'shanda ketdingiz.",yo bu menga bo'lmaydi front-endchi bo'laman ekan har xil shunaqa yurib ko'rganmisiz demoqchiman yoki shu bitta tanladingiz bo'ldi o'shanda ketdingiz,yo bu menga bo'lmaydi front endchi bo'laman ekan har xil shunaqa yurib ko'rganmisiz demoqchiman yoki shu bitta tanladingiz bo'ldi o'shanda ketdingiz,0.1,0.9932,12.4746875,"Yo bu menga bo'lmaydi, front-endchi bo'laman ekan. Har xil shunaqa yurib ko'rganmisiz demoqchiman. Yoki shu bitta tanladingiz bo'ldi, o'shanda ketdingiz."
22,05775.wav,"endi agar u haqida ko'proq ma'lumotga ega bo'lmoqchi bo'lsanglar, docs, tooltips va bu yerda u haqida yanada ko'proq ma'lumotga ega bo'lishinglar mumkin bo'ladi va har doimgidek tooltipni JavaScript yordamida","komponent. Agar u haqida ko'proq ma'lumotga ega bo'lmoqchi bo'lsanglar, docs, tooltips va bu yerda u haqida yanada ko'proq ma'lumotga ega bo'lishinglar mumkin bo'ladi. Va har doimgidek tooltipni javascript yordamida",endi agar u haqida ko'proq ma'lumotga ega bo'lmoqchi bo'lsanglar docs tooltips va bu yerda u haqida yanada ko'proq ma'lumotga ega bo'lishinglar mumkin bo'ladi va har doimgidek tooltipni javascript yordamida,komponent agar u haqida ko'proq ma'lumotga ega bo'lmoqchi bo'lsanglar docs tooltips va bu yerda u haqida yanada ko'proq ma'lumotga ega bo'lishinglar mumkin bo'ladi va har doimgidek tooltipni javascript yordamida,0.0345,0.9688,13.808,"komponent. Agar u haqida ko'proq ma'lumotga ega bo'lmoqchi bo'lsanglar, docs, tooltips va bu yerda u haqida yanada ko'proq ma'lumotga ega bo'lishinglar mumkin bo'ladi. Va har doimgidek tooltipni javascript yordamida"
23,04458.wav,"Bunda kommunikatsiyani ahamiyati undan ham ko'payib boradi. Masalan, bizda Applied Labs kompaniyasida biz onboarding paytida shu mavzularni alohida",bunda kommunikatsiyani ahamiyati undan ham ko'payib boradi. Masalan bizlarda Applied Labs kompaniyasida biz onboarding paytida shu mavzularni alohida,bunda kommunikatsiyani ahamiyati undan ham ko'payib boradi masalan bizda applied labs kompaniyasida biz onboarding paytida shu mavzularni alohida,bunda kommunikatsiyani ahamiyati undan ham ko'payib boradi masalan bizlarda applied labs kompaniyasida biz onboarding paytida shu mavzularni alohida,0.0556,0.9898,17.456,bunda kommunikatsiyani ahamiyati undan ham ko'payib boradi. Masalan bizlarda Applied Labs kompaniyasida biz onboarding paytida shu mavzularni alohida
24,19961.wav,"3 xil tilda ishlovchi o'zbek, tojik va rus tilda ishlovchi mobil dastur bo'lgan.","uch xil tilda ishlovchi, oʻzbek, tojik va rus tilida ishlovchi mobil dastur boʻlgan.",uch xil tilda ishlovchi o'zbek tojik va rus tilda ishlovchi mobil dastur bo'lgan,uch xil tilda ishlovchi o'zbek tojik va rus tilida ishlovchi mobil dastur bo'lgan,0.0769,0.9938,6.821375,"uch xil tilda ishlovchi, oʻzbek, tojik va rus tilida ishlovchi mobil dastur boʻlgan."
25,18567.wav,"muhiti kerakligini his qilib o'sha o'zini nima deydi o'tga tashlab yubordi desak bo'ladi-da, ya'ni startap bilasiz ish yonib turgan bo'ladi, juda ish ko'p bo'ladi, o'rganadigan narsalar ko'p bo'ladi, qilishingiz mumkin bo'lgan narsalar demak siz","qiyinchilik muhiti kerakligini his qilib, o'sha o'zini nima deydi, o'tga tashlab yubordi desak bo'ladida. Ya'ni startap bilasiz, ish yonib turgan bo'ladi, juda ish ko'p bo'ladi, o'rganadigan narsalar ko'p bo'ladi. Qilishingiz mumkin bo'lgan narsalar, demak siz",muhiti kerakligini his qilib o'sha o'zini nima deydi o'tga tashlab yubordi desak bo'ladi-da ya'ni startap bilasiz ish yonib turgan bo'ladi juda ish ko'p bo'ladi o'rganadigan narsalar ko'p bo'ladi qilishingiz mumkin bo'lgan narsalar demak siz,qiyinchilik muhiti kerakligini his qilib o'sha o'zini nima deydi o'tga tashlab yubordi desak bo'ladida ya'ni startap bilasiz ish yonib turgan bo'ladi juda ish ko'p bo'ladi o'rganadigan narsalar ko'p bo'ladi qilishingiz mumkin bo'lgan narsalar demak siz,0.0588,0.6247,17.253375,"qiyinchilik muhiti kerakligini his qilib, o'sha o'zini nima deydi, o'tga tashlab yubordi desak bo'ladi-da. Ya'ni startap bilasiz, ish yonib turgan bo'ladi, juda ish ko'p bo'ladi, o'rganadigan narsalar ko'p bo'ladi. Qilishingiz mumkin bo'lgan narsalar, demak siz"
