id,path,duration,type,char_count,word_count,text_spt,text_original,ref_normalized,hyp_normalized,wer,cer,sequence_similarity,ref_word_count,hyp_word_count
10,00221.wav,14.7786875,train,159.0,23.0,"boshqacha o'ylasa-chi, yoki buni ham, ya'ni shuni ham bilmaydimi degan ustimdan kulishi mumkin degan bo'ladi odam ichida. Lekin o'sha paytda uyalish kerak emas.",boshqacha o'ylasachi yoki buni ham ya'ni shuni ham bilmaydimi degan ustimdan kulishi mumkin degan bo'ladi odamni ichida. Lekin o'sha paytda uyalish kerak emas.,boshqacha o'ylasa-chi yoki buni ham ya'ni shuni ham bilmaydimi degan ustimdan kulishi mumkin degan bo'ladi odam ichida lekin o'sha paytda uyalish kerak emas,boshqacha o'ylasachi yoki buni ham ya'ni shuni ham bilmaydimi degan ustimdan kulishi mumkin degan bo'ladi odamni ichida lekin o'sha paytda uyalish kerak emas,0.087,0.0192,0.9904,23,23
11,00230.wav,18.2046875,train,245.0,33.0,"muammo deyiladi, ya'ni bug deyiladi. Issue yoki problema yoki shunga o'xshagan hamma ishlatadigan so'zlar bor. Endi bu yerda aytadigan bo'lsak, mana shu buglarni topishlik asosan testrovshikning ishi hisoblanadi. Bu buglarimiz bizda nima, ya'ni","muammo deyiladi, ya'ni bug deyiladi. issue yoki problema yoki shunga o'xshagan hamma ishlatadigan so'zlar bor. Endi bu yerda aytadigan bo'lsak, mana shu buglarni topishlik asosan testirovshikning ishi hisoblanadi. Bu buglarimiz bizda nima? ya'ni",muammo deyiladi ya'ni bug deyiladi issue yoki problema yoki shunga o'xshagan hamma ishlatadigan so'zlar bor endi bu yerda aytadigan bo'lsak mana shu buglarni topishlik asosan testrovshikning ishi hisoblanadi bu buglarimiz bizda nima ya'ni,muammo deyiladi ya'ni bug deyiladi issue yoki problema yoki shunga o'xshagan hamma ishlatadigan so'zlar bor endi bu yerda aytadigan bo'lsak mana shu buglarni topishlik asosan testirovshikning ishi hisoblanadi bu buglarimiz bizda nima ya'ni,0.0303,0.0042,0.9979,33,33
12,00284.wav,14.288,train,206.0,28.0,"degan statusni olishiga sabab, chunki oxirgi, oxirgi har bitta stepni tekshirib kelganimizda, oxirgi stepi nima bo'ldi? Fail bo'ldi, ya'ni bizni to'g'ri kutilgan maqsadga yetkazib olib bora olmadi.","failed degan statusni olishiga sabab, chunki oxirgi, oxirgi har bitta stepni tekshirib kelganimizda, oxirgi stepi nima boʻldi? failed boʻldi, yaʼni bizni toʻgʻri kutilgan maqsadga yetkazib olib bora olmadi.",degan statusni olishiga sabab chunki oxirgi oxirgi har bitta stepni tekshirib kelganimizda oxirgi stepi nima bo'ldi fail bo'ldi ya'ni bizni to'g'ri kutilgan maqsadga yetkazib olib bora olmadi,failed degan statusni olishiga sabab chunki oxirgi oxirgi har bitta stepni tekshirib kelganimizda oxirgi stepi nima bo'ldi failed bo'ldi ya'ni bizni to'g'ri kutilgan maqsadga yetkazib olib bora olmadi,0.0741,0.0471,0.977,27,28
13,00290.wav,13.68,train,210.0,25.0,"Bu yerda ko'rib turibmizki, bizda aynan qo'shgan planimizda yaratgan planimizda biz qo'shgan bittagina test keysimiz mavjud. Bloklangan user bloklanganlar ro'yxatida bo'lishligi kerak. Tasavvur qilaylik, bizda","bu yerda ko'rib turibmizki, bizda aynan qo'shgan planimizda, yaratgan planimizda biz qo'shgan bittagina test caseimiz mavjud. Bloklangan user bloklanganlar ro'yxatida bo'lishligi kerak. Tasavvur qilaylik, bizda",bu yerda ko'rib turibmizki bizda aynan qo'shgan planimizda yaratgan planimizda biz qo'shgan bittagina test keysimiz mavjud bloklangan user bloklanganlar ro'yxatida bo'lishligi kerak tasavvur qilaylik bizda,bu yerda ko'rib turibmizki bizda aynan qo'shgan planimizda yaratgan planimizda biz qo'shgan bittagina test caseimiz mavjud bloklangan user bloklanganlar ro'yxatida bo'lishligi kerak tasavvur qilaylik bizda,0.04,0.0195,0.9805,25,25
14,00291.wav,17.927375,train,251.0,32.0,"o'zini keyingi bir avlod sifatida kompaniyalar oladi albatta juniorlarni. Chunki hech qachon mana masalan, juda ko'p kompaniyalarda proyekt darajasi yengilroq bo'lsa, juniorlarni ham bemalol oladi albatta. Chunki kerak albatta, juniorlar kerak albatta.","o'zini keyingi bir avlod sifatida kompaniyalar oladi albatta juniorlarni. Chunki hech qachon mana masalan juda ko'p kompaniyalarda proyekt darajasi yengilroq bo'lsa, juniorlarni ham bemalol oladi albatta. Chunki kerak albatta, juniorlar kerak albatta.",o'zini keyingi bir avlod sifatida kompaniyalar oladi albatta juniorlarni chunki hech qachon mana masalan juda ko'p kompaniyalarda proyekt darajasi yengilroq bo'lsa juniorlarni ham bemalol oladi albatta chunki kerak albatta juniorlar kerak albatta,o'zini keyingi bir avlod sifatida kompaniyalar oladi albatta juniorlarni chunki hech qachon mana masalan juda ko'p kompaniyalarda proyekt darajasi yengilroq bo'lsa juniorlarni ham bemalol oladi albatta chunki kerak albatta juniorlar kerak albatta,0.0,0.0,1.0,32,32
15,00310.wav,7.67,train,87.0,10.0,ajratilgan vaqtda qilgan testimizni xuddi biz hujjat tarzida hujjat tashlagan bo'lamiz.,ajratilgan vaqtda qilgan testimizni xuddi biz hujjat tarzida hujjatlashtirgan bo'lamiz.,ajratilgan vaqtda qilgan testimizni xuddi biz hujjat tarzida hujjat tashlagan bo'lamiz,ajratilgan vaqtda qilgan testimizni xuddi biz hujjat tarzida hujjatlashtirgan bo'lamiz,0.1818,0.0581,0.9535,11,10
16,00315.wav,18.14,train,279.0,40.0,"mavjud emas. Nima bir attachmentlar bo'lishi mumkin. Attachmentni bosgan paytimizda bizga har xil rasmlar paydo bo'ladi. Ixtiyoriy rasmni olaman-da men u yerga nima qilishim mumkin? Attach qilishim mumkin, qo'shib qo'yishim mumkin. Ya'ni men mana shu mana shu yuzerni qo'shgan edim.","mavjud emas. Endi bir attachmentlar boʻlishi mumkin. Attachmentni bosgan paytimizda bizga har xil rasmlar paydo boʻladi. Ixtiyoriy rasmni olaman men. U yerga nima qilishim mumkin? Attach qilishim mumkin, qoʻshib qoʻyishim mumkin. Ya'ni men mana shu mana shu userni qoʻshgan edim.",mavjud emas nima bir attachmentlar bo'lishi mumkin attachmentni bosgan paytimizda bizga har xil rasmlar paydo bo'ladi ixtiyoriy rasmni olaman-da men u yerga nima qilishim mumkin attach qilishim mumkin qo'shib qo'yishim mumkin ya'ni men mana shu mana shu yuzerni qo'shgan edim,mavjud emas endi bir attachmentlar bo'lishi mumkin attachmentni bosgan paytimizda bizga har xil rasmlar paydo bo'ladi ixtiyoriy rasmni olaman men u yerga nima qilishim mumkin attach qilishim mumkin qo'shib qo'yishim mumkin ya'ni men mana shu mana shu userni qo'shgan edim,0.075,0.0327,0.9048,40,40
17,00340.wav,14.75,train,223.0,32.0,"hech qanday bunday input data kerak emas. Agarda siz mana masalan loginni amalga oshirmoqchi bo'lsangiz, username degan poliga klik qiling deyiladi-da, keyin mana shu yerga mana masalan ixtiyoriy bir usernameni mana masalan","hech qanday bunday input data kerak emas. Agarda siz mana masalan loginni amalga oshirmoqchi bo'lsangiz, username degan polega klik qiling deyiladida, keyin mana shu yerga mana masalan ixtiyoriy bir usernameni, mana masalan",hech qanday bunday input data kerak emas agarda siz mana masalan loginni amalga oshirmoqchi bo'lsangiz username degan poliga klik qiling deyiladi-da keyin mana shu yerga mana masalan ixtiyoriy bir usernameni mana masalan,hech qanday bunday input data kerak emas agarda siz mana masalan loginni amalga oshirmoqchi bo'lsangiz username degan polega klik qiling deyiladida keyin mana shu yerga mana masalan ixtiyoriy bir usernameni mana masalan,0.0625,0.0091,0.9932,32,32
18,00355.wav,12.368,train,110.0,12.0,"Ayni paytda universitet laboratoriyasida ishlayapman. Albatta, Mohirdevdan keyin hayotim ancha o'zgardi, chunki","ayni paytda universitet laboratoriyasida ishlayapman. Albatta Mohirdevdan keyin hayotim ancha oʻzgardi, chunki",ayni paytda universitet laboratoriyasida ishlayapman albatta mohirdevdan keyin hayotim ancha o'zgardi chunki,ayni paytda universitet laboratoriyasida ishlayapman albatta mohirdevdan keyin hayotim ancha o'zgardi chunki,0.0,0.0,1.0,12,12
19,00369.wav,7.984,train,60.0,10.0,"Demak, bu nima bo'lyapti? Siz klient tarafdan turib SMS yozib",demak bu nima boʻlyapti? siz klient tarafdan turib SMS yozib,demak bu nima bo'lyapti siz klient tarafdan turib sms yozib,demak bu nima bo'lyapti siz klient tarafdan turib sms yozib,0.0,0.0,1.0,10,10
20,00376.wav,9.19,train,118.0,15.0,"jarayonni amalga oshiramiz. Demak, bugungi veb soketga kirish darsimiz shundan iborat edi. E'tiboringlar uchun rahmat.",jarayonni amalga oshiramiz. Demak bugungi web socketga kirish darsimiz shundan iborat edi. E'tiboringlar uchun rahmat.,jarayonni amalga oshiramiz demak bugungi veb soketga kirish darsimiz shundan iborat edi e'tiboringlar uchun rahmat,jarayonni amalga oshiramiz demak bugungi web socketga kirish darsimiz shundan iborat edi e'tiboringlar uchun rahmat,0.1333,0.0175,0.9869,15,15
21,00377.wav,17.71,train,274.0,39.0,"Demak, ikki taraf bilan connection bo'lishdan oldin, albatta bir marta HTTP zapros kerak bo'ladi. Demak, u birinchi qanday bo'ladi? Demak, birinchi request klient request jo'natadi, ya'ni aloqa bormi-yo'q degan request jo'natadi va u ikkinchi handshake jarayoni sodir bo'ladi.","Demak ikki taraflama connection bo'lishdan oldin, albatta bir marta http zapros kerak bo'ladi. Demak u birinchi qandoq bo'ladi? Demak birinchi request, klient request jo'natadi, ya'ni aloqa bormi yo'q degan request jo'natadi va u hand kinch handshake jarayoni sodir bo'ladi.",demak ikki taraf bilan connection bo'lishdan oldin albatta bir marta http zapros kerak bo'ladi demak u birinchi qanday bo'ladi demak birinchi request klient request jo'natadi ya'ni aloqa bormi-yo'q degan request jo'natadi va u ikkinchi handshake jarayoni sodir bo'ladi,demak ikki taraflama connection bo'lishdan oldin albatta bir marta http zapros kerak bo'ladi demak u birinchi qandoq bo'ladi demak birinchi request klient request jo'natadi ya'ni aloqa bormi yo'q degan request jo'natadi va u hand kinch handshake jarayoni sodir bo'ladi,0.1842,0.0522,0.4888,38,39
22,00403.wav,14.8426875,train,201.0,24.0,sizni bilimlaringizni bilimlaringizga ega bo'lgan odam 1000 dollar oylik olyapti. Shunaqa vaziyatda nima qilsangiz bo'ladi? Qanaqa qilib oylik oshirsangiz bo'ladi? Boshliqqa kirib aytadigan bo'lsangiz,"sizni bilimlaringizni bilimlaringizga ega bo'lgan odam 1000 dollar oylik olyapti. Shunaqa vaziyatda nima qilsangiz bo'ladi? Qanaqa qilib oylik oshirsangiz bo'ladi? Boshliqqa kirib aytadigan bo'lsangiz,",sizni bilimlaringizni bilimlaringizga ega bo'lgan odam ming dollar oylik olyapti shunaqa vaziyatda nima qilsangiz bo'ladi qanaqa qilib oylik oshirsangiz bo'ladi boshliqqa kirib aytadigan bo'lsangiz,sizni bilimlaringizni bilimlaringizga ega bo'lgan odam ming dollar oylik olyapti shunaqa vaziyatda nima qilsangiz bo'ladi qanaqa qilib oylik oshirsangiz bo'ladi boshliqqa kirib aytadigan bo'lsangiz,0.0,0.0,1.0,24,24
23,00411.wav,19.109375,train,220.0,31.0,"Unaqada ishlab turganingizda deylik, siz o'zi ishga kirgansiz, ishga kirganingizda deylik, 200 dollar oylik olardingiz. Siz bir yil vaqt o'tdi, 500 dollar olyapsiz. Lekin siz bir yilda shunaqa ko'p narsa o'rgandingizki,","unaqada, ishlab turganingizda deylik, siz o'zi ishga kirgansiz, ishga kirganingizda deylik, 200 dollar oylik olardingiz. Siz bir yil vaqt o'tdi, 500 dollar olyapsiz. Lekin siz bir yilda shunaqa ko'p narsa o'rgandingizki,",unaqada ishlab turganingizda deylik siz o'zi ishga kirgansiz ishga kirganingizda deylik ikki yuz dollar oylik olardingiz siz bir yil vaqt o'tdi besh yuz dollar olyapsiz lekin siz bir yilda shunaqa ko'p narsa o'rgandingizki,unaqada ishlab turganingizda deylik siz o'zi ishga kirgansiz ishga kirganingizda deylik ikki yuz dollar oylik olardingiz siz bir yil vaqt o'tdi besh yuz dollar olyapsiz lekin siz bir yilda shunaqa ko'p narsa o'rgandingizki,0.0,0.0,1.0,33,33
24,00417.wav,8.95,train,34.0,6.0,"Masalan, siz 100 000 pulingiz bor.","Masalan, siz 100 000 pulingiz bor.",masalan siz bir yuz ming pulingiz bor,masalan siz bir yuz ming pulingiz bor,0.0,0.0,1.0,7,7
25,00440.wav,16.155375,train,169.0,18.0,"Hozir IT sohasidagilar nimaga kelishyapti endi? IT marketplecelarni shakllantirish, aniqrog'i shakllantirishda muammo yo'q, sizni ma'lumotlaringizni data marketplece","hozir IT sohasidagilar nimaga kelishyapti endi? IT marketplacelarni shakllantirish, aniqrog'i shakllantirishda muammo yo'q. sizni ma'lumotlaringizni uhh data marketplace",hozir it sohasidagilar nimaga kelishyapti endi it marketplecelarni shakllantirish aniqrog'i shakllantirishda muammo yo'q sizni ma'lumotlaringizni data marketplece,hozir it sohasidagilar nimaga kelishyapti endi it marketplacelarni shakllantirish aniqrog'i shakllantirishda muammo yo'q sizni ma'lumotlaringizni uhh data marketplace,0.1765,0.037,0.9756,17,18
26,00472.wav,11.47,train,195.0,26.0,Agar haqiqatda u sizdan foydalanmagan bo'lsa tiziminglarda uni tozalashga qiynalasizlar. Ana o'sha haqida yozdim bu yerda loglarda va mijozlarni ma'lumotlarini tozalash ham mana shu mavzu edi.,"agar haqiqatda u sizdan foydalanmagan bo'lsa tiziminglardan, uni tozalashga qiynalasizlar. Ana o'sha haqida yozdim bu yoqda loglarda. va mijozlarni ma'lumotlarini tozalash ham mana shu yozuv edi.",agar haqiqatda u sizdan foydalanmagan bo'lsa tiziminglarda uni tozalashga qiynalasizlar ana o'sha haqida yozdim bu yerda loglarda va mijozlarni ma'lumotlarini tozalash ham mana shu mavzu edi,agar haqiqatda u sizdan foydalanmagan bo'lsa tiziminglardan uni tozalashga qiynalasizlar ana o'sha haqida yozdim bu yoqda loglarda va mijozlarni ma'lumotlarini tozalash ham mana shu yozuv edi,0.1154,0.0368,0.9711,26,26
27,00502.wav,15.28,train,249.0,29.0,"Bugungi mavzuyimiz, ayniqsa mana bu bizlarni IT sistemalarimizda qanaqa qilib ma'lumotlarni qayta ishlashimiz haqidagi bo'ladi. Ya'ni biz ko'pincha e'tibor bermaydigan joylarimiz bor, o'shalar haqida tushunchalarni tushuntirib berishga harakat qilaman.","Bugungi mavzumiz ayniqsa mana bu bizlarni IT sistemalarimizda qanaqa qilib ma'lumotlarni qayta ishlashimiz haqidagi bo'ladi. Ya'ni biz ko'pincha e'tibor bermaydigan joylarimiz bor, o'shalar haqida tushunchalarni tushuntirib berishga harakat qilaman.",bugungi mavzuyimiz ayniqsa mana bu bizlarni it sistemalarimizda qanaqa qilib ma'lumotlarni qayta ishlashimiz haqidagi bo'ladi ya'ni biz ko'pincha e'tibor bermaydigan joylarimiz bor o'shalar haqida tushunchalarni tushuntirib berishga harakat qilaman,bugungi mavzumiz ayniqsa mana bu bizlarni it sistemalarimizda qanaqa qilib ma'lumotlarni qayta ishlashimiz haqidagi bo'ladi ya'ni biz ko'pincha e'tibor bermaydigan joylarimiz bor o'shalar haqida tushunchalarni tushuntirib berishga harakat qilaman,0.0345,0.0081,0.996,29,29
28,00527.wav,15.941375,train,298.0,39.0,"Bizlarni tizimim kimdir kirib kelib ertaga bizlarni mijozlarimizni ma'lumotlarini osongina olib qo'yadigan va ularni manipulyatsiya qiladigan, ularni qanaqadir yomon yo'lda ishlatadigan narsa bo'lishi kerak emas. Hattoki yaxshi yo'lda ishlatishga ham ishlatish mumkin emas, chunki olishga haqqi yo'q.","Bizni tizim ham kimdir kirib kelib ertaga bizlarni mijozlarimizni ma'lumotlarini osongina olib qo'yadigan va ularni manipulyatsiya qiladigan, ularni qanaqa bir yomon yo'lda ishlatadigan narsa bo'lishi kerak emas. Hattoki yaxshi yo'lda ishlatishga ham ishlatish mumkin emas, chunki olish haqqi yo'q.",bizlarni tizimim kimdir kirib kelib ertaga bizlarni mijozlarimizni ma'lumotlarini osongina olib qo'yadigan va ularni manipulyatsiya qiladigan ularni qanaqadir yomon yo'lda ishlatadigan narsa bo'lishi kerak emas hattoki yaxshi yo'lda ishlatishga ham ishlatish mumkin emas chunki olishga haqqi yo'q,bizni tizim ham kimdir kirib kelib ertaga bizlarni mijozlarimizni ma'lumotlarini osongina olib qo'yadigan va ularni manipulyatsiya qiladigan ularni qanaqa bir yomon yo'lda ishlatadigan narsa bo'lishi kerak emas hattoki yaxshi yo'lda ishlatishga ham ishlatish mumkin emas chunki olish haqqi yo'q,0.1622,0.0338,0.9153,37,39
29,00598.wav,18.5546875,train,272.0,33.0,"Qoidalar bo'limiga o'tganimizda, Mohirdev serverida mana bu joyda dastlabki qoidalarimiz kiritilgan, yozib chiqarilgan. Bu narsani vaqt o'tishi bilan biron bir zarurat tug'ilsa yana to'ldirib boramiz. Albatta qoidalarni o'qib boringlar. Bularni o'qib chiqqaninglardan keyin","qoidalar bo'limiga o'tganimizda, Mohirdev serverida mana bu joyda dastlabki qoidalarimiz kiritilgan, yozib chiqarilgan. Bu narsani vaqt o'tishi bilan biron bir zarurat tug'ilsa yana to'ldirib boramiz. Albatta qoidalarni o'qib boringlar. Ularni o'qib chiqqaninglardan keyin",qoidalar bo'limiga o'tganimizda mohirdev serverida mana bu joyda dastlabki qoidalarimiz kiritilgan yozib chiqarilgan bu narsani vaqt o'tishi bilan biron bir zarurat tug'ilsa yana to'ldirib boramiz albatta qoidalarni o'qib boringlar bularni o'qib chiqqaninglardan keyin,qoidalar bo'limiga o'tganimizda mohirdev serverida mana bu joyda dastlabki qoidalarimiz kiritilgan yozib chiqarilgan bu narsani vaqt o'tishi bilan biron bir zarurat tug'ilsa yana to'ldirib boramiz albatta qoidalarni o'qib boringlar ularni o'qib chiqqaninglardan keyin,0.0303,0.0037,0.9981,33,33
30,00600.wav,18.16,train,231.0,26.0,"serverni umumiy, ommaviy kanallarini ochmoqchi bo'lsanglar, mana bu joydagi qo'l tashlash, kelishish tugmasini bossanglar, sizlarga tasdiqlangan foydalanuvchi degan rol beriladi. Mana bosib ko'rsam, mana tasdiqlangan foydalanuvchi.","serverni umumiy ommaviy kanallarini ochmoqchi bo'lsanglar, mana bu joydagi qo'l tashlash, kelishish tugmasini bossanglar, sizlarga tasdiqlangan foydalanuvchi degan rol beriladi. Mana bosib ko'rsam, menda tasdiqlangan foydalanuvchi.",serverni umumiy ommaviy kanallarini ochmoqchi bo'lsanglar mana bu joydagi qo'l tashlash kelishish tugmasini bossanglar sizlarga tasdiqlangan foydalanuvchi degan rol beriladi mana bosib ko'rsam mana tasdiqlangan foydalanuvchi,serverni umumiy ommaviy kanallarini ochmoqchi bo'lsanglar mana bu joydagi qo'l tashlash kelishish tugmasini bossanglar sizlarga tasdiqlangan foydalanuvchi degan rol beriladi mana bosib ko'rsam menda tasdiqlangan foydalanuvchi,0.0385,0.0089,0.9889,26,26
31,00617.wav,18.405375,train,295.0,36.0,"bemalol fikr almashishinglar, tajriba almashishinglar mumkin bo'ladi. Umumiy holat shu, aytganimdek, bu narsaga qo'shilganinglardan keyin qoidalarga rozi bo'lib, undan keyin qaysi kursga qo'shilgan bo'lsanglar, mana bu yerda yozib qo'yasizlar. 24 soat ichida sizlarni qo'shib qo'yamiz kanalga.","bemalol fikr almashishinglar, tajriba almashishinglar mumkin bo'ladi. Umumiy holat shu. Aytganimdekki, bu narsaga qo'shilganinglardan keyin qoidalarga rozi bo'lib, undan keyin qaysi kursga qo'shilgan bo'lsanglar, mana bu yerda yozib qo'yasizlar. 24 soat ichida sizlarni qo'shib qo'yamiz kanalga.",bemalol fikr almashishinglar tajriba almashishinglar mumkin bo'ladi umumiy holat shu aytganimdek bu narsaga qo'shilganinglardan keyin qoidalarga rozi bo'lib undan keyin qaysi kursga qo'shilgan bo'lsanglar mana bu yerda yozib qo'yasizlar yigirma to'rt soat ichida sizlarni qo'shib qo'yamiz kanalga,bemalol fikr almashishinglar tajriba almashishinglar mumkin bo'ladi umumiy holat shu aytganimdekki bu narsaga qo'shilganinglardan keyin qoidalarga rozi bo'lib undan keyin qaysi kursga qo'shilgan bo'lsanglar mana bu yerda yozib qo'yasizlar yigirma to'rt soat ichida sizlarni qo'shib qo'yamiz kanalga,0.027,0.0068,0.9966,37,37
