path,dataset,ref_raw,pred_raw,wer_raw,ref_normalized,hyp_normalized,wer,cer,sequence_similarity,ref_word_count,hyp_word_count
common_voice_uz_29539222.wav,common_voice,qilinadigan orzular namoyon bo'ladi.,Qilinadigan orzular namoyon bo'ladi.,0.25,qilinadigan orzular namoyon bo'ladi.,Qilinadigan orzular namoyon bo'ladi.,0.25,0.0278,0.9722,4,4
484533.wav,uzbek_voice,Bu haqda Sog'liqni saqlash vazirligi axborot xizmati xabar bermoqda.,Bu haqda Sog'liqni saqlash vazirligi axborot xizmati xabar bermoqda.,0.0,Bu haqda Sog'liqni saqlash vazirligi axborot xizmati xabar bermoqda.,Bu haqda Sog'liqni saqlash vazirligi axborot xizmati xabar bermoqda.,0.0,0.0,1.0,9,9
447010.wav,uzbek_voice,Ichimlikka asal qo'shing va kun davomida oz-ozdan ichiring.,Ichimlikka asal qo'shing va kun davomida o'z-o'zidan ichiring.,0.125,Ichimlikka asal qo'shing va kun davomida oz-ozdan ichiring.,Ichimlikka asal qo'shing va kun davomida o'z-o'zidan ichiring.,0.125,0.0508,0.9752,8,8
293424.wav,uzbek_voice,"Guvoh bo'lganingizdek, tomonlarning fikri turlicha yangramoqda.","Guvoh bo'lganingizdek, tomonlarning fikri turlicha yangramoqda.",0.0,"Guvoh bo'lganingizdek, tomonlarning fikri turlicha yangramoqda.","Guvoh bo'lganingizdek, tomonlarning fikri turlicha yangramoqda.",0.0,0.0,1.0,6,6
common_voice_uz_28903345.wav,common_voice,Unda barcha kichik-kichik taqrizlarim bosilgan.,Unda barcha kichik-kichik taqvizlarim bosilgan.,0.2,Unda barcha kichik-kichik taqrizlarim bosilgan.,Unda barcha kichik-kichik taqvizlarim bosilgan.,0.2,0.0213,0.9787,5,5
344356.wav,uzbek_voice,"Bilasizmi, hozir mazza qilyapman, to'yib-to'yib nafas olmoqdaman.","Bilasizmi, hozir mazza qilyapman. To'yib-to'yib nafas olmoqdaman.",0.2857,"Bilasizmi, hozir mazza qilyapman, to'yib-to'yib nafas olmoqdaman.","Bilasizmi, hozir mazza qilyapman. To'yib-to'yib nafas olmoqdaman.",0.2857,0.0308,0.9692,7,7
125337.wav,uzbek_voice,Bu o'tgan yilgi ko'rsatkich bilan teng bo'ldi.,Bu o'tgan yilgi ko'rsatkich bilan teng bo'ldi.,0.0,Bu o'tgan yilgi ko'rsatkich bilan teng bo'ldi.,Bu o'tgan yilgi ko'rsatkich bilan teng bo'ldi.,0.0,0.0,1.0,7,7
188320.wav,uzbek_voice,"Uyimiz buzilishga tushadi deyishgani bois, ikkilanib qoldik.",Uyimiz buzilishiga tushadi deyishgani bois ikkilanib qoldik.,0.2857,"Uyimiz buzilishga tushadi deyishgani bois, ikkilanib qoldik.",Uyimiz buzilishiga tushadi deyishgani bois ikkilanib qoldik.,0.2857,0.0333,0.9833,7,7
common_voice_uz_29539359.wav,common_voice,chiqib keta olmaganim alam qildi,chiqib keta olmaganim alam qildi.,0.2,chiqib keta olmaganim alam qildi,chiqib keta olmaganim alam qildi.,0.2,0.0312,0.9846,5,5
common_voice_uz_27224735.wav,common_voice,Administratsiyadagi siyosiy texnologlar hozir shuni ustida ishlashyapti.,Administratsiyadagi siyosiy texnologlar hozir shuni ustida ishlashyapti.,0.0,Administratsiyadagi siyosiy texnologlar hozir shuni ustida ishlashyapti.,Administratsiyadagi siyosiy texnologlar hozir shuni ustida ishlashyapti.,0.0,0.0,1.0,7,7
368373.wav,uzbek_voice,"Shuningdek, baland poshnali oyoq kiyim kombinatsiyani yanada to'ldiradi.","Shuningdek, baland poshnali oyoq-kiyim kombinatsiyani yanada to'ldiradi.",0.25,"Shuningdek, baland poshnali oyoq kiyim kombinatsiyani yanada to'ldiradi.","Shuningdek, baland poshnali oyoq-kiyim kombinatsiyani yanada to'ldiradi.",0.25,0.0139,0.9861,8,7
103829.wav,uzbek_voice,G guruhi favoritlari autsayderlarga qarshi o'ynadi.,G guruhi favoritlari autsayderlarga qarshi o'ynadi.,0.0,G guruhi favoritlari autsayderlarga qarshi o'ynadi.,G guruhi favoritlari autsayderlarga qarshi o'ynadi.,0.0,0.0,1.0,6,6
188938.wav,uzbek_voice,Peruning And tog'larida alpinistlar guruhi halok bo'ldi.,Peruning and tog'larida alpinistlar guruhi halok bo'ldi.,0.1429,Peruning And tog'larida alpinistlar guruhi halok bo'ldi.,Peruning and tog'larida alpinistlar guruhi halok bo'ldi.,0.1429,0.0179,0.9821,7,7
177383.wav,uzbek_voice,"Gap bolalarimiz kelajagi, ertangi taqdiri haqida ketmoqda.",Gap bolalarimiz kelajagi ertangi taqdiri haqida ketmoqda.,0.1429,"Gap bolalarimiz kelajagi, ertangi taqdiri haqida ketmoqda.",Gap bolalarimiz kelajagi ertangi taqdiri haqida ketmoqda.,0.1429,0.0172,0.9913,7,7
197328.wav,uzbek_voice,Asal oyiga bron qilingan mehmonxonani bekor qilmoqchiman.,Asal oyiga biron qilingan mehmonxonani bekor qilmoqchiman.,0.1429,Asal oyiga bron qilingan mehmonxonani bekor qilmoqchiman.,Asal oyiga biron qilingan mehmonxonani bekor qilmoqchiman.,0.1429,0.0175,0.9913,7,7
343590.wav,uzbek_voice,"Restoranlar, mehmonxonalar, sport zallari va suv havzalari yopilgan.","Restoranlar, mehmonxonalar, sport zallari va suv havzalari yopilgan.",0.0,"Restoranlar, mehmonxonalar, sport zallari va suv havzalari yopilgan.","Restoranlar, mehmonxonalar, sport zallari va suv havzalari yopilgan.",0.0,0.0,1.0,8,8
631702.wav,uzbek_voice,O'zbekistonda avtomobil yo'llari xorij tajribasi asosida quriladi.,O'zbekistonda avtomobil yo'llari xorij tajribasi asosida quriladi.,0.0,O'zbekistonda avtomobil yo'llari xorij tajribasi asosida quriladi.,O'zbekistonda avtomobil yo'llari xorij tajribasi asosida quriladi.,0.0,0.0,1.0,7,7
839130.wav,uzbek_voice,"Vaqt undan foydalanib aqlliroq, yaxshiroq, pishiqroq bo'lish uchun berilgan.","Vaqt undan foydalanib aqlliroq, yaxshiroq, pishiqroq bo'lish uchun berilgan.",0.0,"Vaqt undan foydalanib aqlliroq, yaxshiroq, pishiqroq bo'lish uchun berilgan.","Vaqt undan foydalanib aqlliroq, yaxshiroq, pishiqroq bo'lish uchun berilgan.",0.0,0.0,1.0,9,9
00005621.wav,news,"Sudlanuvchi Zafarov advokatlari, shaxsiyat bo'yicha savollar bormi?",Sudlanuvchi Zafarov advokatlari shaxsiyat bo'yicha savollar bormi?,0.1429,"Sudlanuvchi Zafarov advokatlari, shaxsiyat bo'yicha savollar bormi?",Sudlanuvchi Zafarov advokatlari shaxsiyat bo'yicha savollar bormi?,0.1429,0.0149,0.9925,7,7
common_voice_uz_29008694.wav,common_voice,Iltimos bilan Erkin akaga berilgan.,Ijtimos bilan erkin akaga berilgan.,0.4,Iltimos bilan Erkin akaga berilgan.,Ijtimos bilan erkin akaga berilgan.,0.4,0.0571,0.9429,5,5
360531.wav,uzbek_voice,Toshkentda O'zbekiston-Xitoy hukumatlararo hamkorlik qo'mitasining majlisi o'tkazildi.,Toshkentda O'zbekiston Xitoy hukumatlararo hamkorlik qo'mitasining majlisi o'tkazildi.,0.2857,Toshkentda O'zbekiston-Xitoy hukumatlararo hamkorlik qo'mitasining majlisi o'tkazildi.,Toshkentda O'zbekiston Xitoy hukumatlararo hamkorlik qo'mitasining majlisi o'tkazildi.,0.2857,0.0116,0.9884,7,8
112053.wav,uzbek_voice,"Shuningdek, shahar ko'chalarida svetoforlar o'chib qolgan.","Shuningdek, shahar ko'chalarida siftovorlar o'chib qolgan.",0.1667,"Shuningdek, shahar ko'chalarida svetoforlar o'chib qolgan.","Shuningdek, shahar ko'chalarida siftovorlar o'chib qolgan.",0.1667,0.0517,0.9483,6,6
common_voice_uz_29520826.wav,common_voice,Elektron hukumat to'g'risidagi qonunchilikni takomillashtirish bo'yicha takliflar ishlab chiqishda ishtirok etadi.,Elektron hukumat to'g'risidagi qonunchilikni takomillashtirish bo'yicha takliflar ishlab chiqishda ishtirok etadi.,0.0,Elektron hukumat to'g'risidagi qonunchilikni takomillashtirish bo'yicha takliflar ishlab chiqishda ishtirok etadi.,Elektron hukumat to'g'risidagi qonunchilikni takomillashtirish bo'yicha takliflar ishlab chiqishda ishtirok etadi.,0.0,0.0,1.0,11,11
155323.wav,uzbek_voice,Farg'ona shahri va tumaniga yangi hokim tayinlandi.,Farg'ona shahri va tumaniga yangi hokim tayinlandi.,0.0,Farg'ona shahri va tumaniga yangi hokim tayinlandi.,Farg'ona shahri va tumaniga yangi hokim tayinlandi.,0.0,0.0,1.0,7,7
339709.wav,uzbek_voice,Bunga sabab plazma televizorlariga bo'lgan talabning pasayishi bo'lgan.,Bunga sabab plazma televizorlariga bo'lgan talabning pasayishi bo'lgan.,0.0,Bunga sabab plazma televizorlariga bo'lgan talabning pasayishi bo'lgan.,Bunga sabab plazma televizorlariga bo'lgan talabning pasayishi bo'lgan.,0.0,0.0,1.0,8,8
449811.wav,uzbek_voice,Robbilari huzuriga borishganda ularni ikrom qilib savoblarini ko'paytirib beradi.,Robbalari huzuriga borishganda ularni ikrom qilib savoblarini ko'paytirib beradi.,0.1111,Robbilari huzuriga borishganda ularni ikrom qilib savoblarini ko'paytirib beradi.,Robbalari huzuriga borishganda ularni ikrom qilib savoblarini ko'paytirib beradi.,0.1111,0.0123,0.9877,9,9
839148.wav,uzbek_voice,"Birinchidan, qishloq xo'jaligida davlat aralashuviga to'liq barham berilishi lozim.","Birinchidan, qishloq xo'jaligida davlat aralashuviga to'liq barham berilishi lozim.",0.0,"Birinchidan, qishloq xo'jaligida davlat aralashuviga to'liq barham berilishi lozim.","Birinchidan, qishloq xo'jaligida davlat aralashuviga to'liq barham berilishi lozim.",0.0,0.0,1.0,9,9
343832.wav,uzbek_voice,Avtomobil 9 marotaba qoida buzilishi bo'yicha ro'yxatga olingan.,Avtomobil 9 marotaba qoida buzilishi bo'yicha ro'yxatga olingan.,0.0,Avtomobil 9 marotaba qoida buzilishi bo'yicha ro'yxatga olingan.,Avtomobil 9 marotaba qoida buzilishi bo'yicha ro'yxatga olingan.,0.0,0.0,1.0,8,8
188983.wav,uzbek_voice,Bu afzalliklar oddiy xonani haqiqiy kinoteatrga aylantiradi.,Bu afzalliklar oddiy xonani haqiqiy kinoteatrga aylantiradi.,0.0,Bu afzalliklar oddiy xonani haqiqiy kinoteatrga aylantiradi.,Bu afzalliklar oddiy xonani haqiqiy kinoteatrga aylantiradi.,0.0,0.0,1.0,7,7
857931.wav,uzbek_voice,187 605,187 605,0.0,187 605,187 605,0.0,0.0,1.0,2,2
457245.wav,uzbek_voice,Jarohat olganlar va yetkazilgan zarar bo'yicha hozircha ma'lumotlar yo'q.,Jarohat olganlar va yetkazilgan zarar bo'yicha hozircha ma'lumotlar yo'q.,0.0,Jarohat olganlar va yetkazilgan zarar bo'yicha hozircha ma'lumotlar yo'q.,Jarohat olganlar va yetkazilgan zarar bo'yicha hozircha ma'lumotlar yo'q.,0.0,0.0,1.0,9,9
782288.wav,uzbek_voice,"Katta yettilik Ukrainadan don eksporti uchun sanksiyalar joriy qiladi, Oq uy.","Katta yettilik Ukrainadan don eksporti uchun sanksiyalar joriy qiladi, Oq uy.",0.0,"Katta yettilik Ukrainadan don eksporti uchun sanksiyalar joriy qiladi, Oq uy.","Katta yettilik Ukrainadan don eksporti uchun sanksiyalar joriy qiladi, Oq uy.",0.0,0.0,1.0,11,11
497004.wav,uzbek_voice,"Har qanday dori zaharga aylanishi mumkin, zahar esa doriga.",Har qanday dori zahariga aylanishi mumkin. Zahar esa doriga.,0.3333,"Har qanday dori zaharga aylanishi mumkin, zahar esa doriga.",Har qanday dori zahariga aylanishi mumkin. Zahar esa doriga.,0.3333,0.0508,0.958,9,9
common_voice_uz_29606475.wav,common_voice,Yosh tadbirkorlar uchun imtiyozli kreditlar ajratish tartibi qanday?,Yosh tadbirkorlar uchun imtiyozli kreditlar ajratish tartibi qanday?,0.0,Yosh tadbirkorlar uchun imtiyozli kreditlar ajratish tartibi qanday?,Yosh tadbirkorlar uchun imtiyozli kreditlar ajratish tartibi qanday?,0.0,0.0,1.0,8,8
293735.wav,uzbek_voice,Biz yurtimizda bunday holatlar bo'lmasligi tarafdorimiz.,Biz yurtimizda bunday holatlar bo'lmasligi tarafdorimiz.,0.0,Biz yurtimizda bunday holatlar bo'lmasligi tarafdorimiz.,Biz yurtimizda bunday holatlar bo'lmasligi tarafdorimiz.,0.0,0.0,1.0,6,6
82941.wav,uzbek_voice,Bahodir Yusupov o'limi sababiga aniqlik kiritilmagan.,Bahodir Yusupov o'limi sababiga aniqlik kiritilmagan.,0.0,Bahodir Yusupov o'limi sababiga aniqlik kiritilmagan.,Bahodir Yusupov o'limi sababiga aniqlik kiritilmagan.,0.0,0.0,1.0,6,6
140798.wav,uzbek_voice,Hozirda futbol bo'yicha Germaniya chempionati tomoshabinlarsiz o'tkazilmoqda.,Hozirda futbol bo'yicha Germaniya chempionati tomoshabinlarsiz o'tkazilmoqda.,0.0,Hozirda futbol bo'yicha Germaniya chempionati tomoshabinlarsiz o'tkazilmoqda.,Hozirda futbol bo'yicha Germaniya chempionati tomoshabinlarsiz o'tkazilmoqda.,0.0,0.0,1.0,7,7
common_voice_uz_28909365.wav,common_voice,Shu narsa shuhratparastlikdir yana.,"Shu narsa shuhratbaraslikdir, yana.",0.25,Shu narsa shuhratparastlikdir yana.,"Shu narsa shuhratbaraslikdir, yana.",0.25,0.0857,0.9429,4,4
00010054.wav,news,"direktorining birinchi o'rinbosari Abdulla Abduqodirovdan javob olamiz. Abdulla aka, assalomu alaykum. Va alaykum assalom. Kiritilayotgan investitsiyalar nimaga sarflanayotgani haqidagi javobga o'tishdan oldin o'zi umuman Yevropa tiklanish va taraqqiyot bankining O'zbekiston uchun ahamiyati qay darajada ekaniga ikki og'iz izoh berib o'tsangiz.","direktorining birinchi o'rinbosari Abdulla Abduqodirovdan javob olamiz. Abdulla aka, assalomu alaykum. Va alaykum assalom. Kiritilayotgan investitsiyalar nimaga sarflanayotgani haqidagi javobga o'tishdan oldin o'zi umuman Yevropa tiklanish va taraqqiyot bankining O'zbekiston uchun ahamiyati qay darajada ekaniga ikki og'iz izoh berib o'tsangiz.",0.0,"direktorining birinchi o'rinbosari Abdulla Abduqodirovdan javob olamiz. Abdulla aka, assalomu alaykum. Va alaykum assalom. Kiritilayotgan investitsiyalar nimaga sarflanayotgani haqidagi javobga o'tishdan oldin o'zi umuman Yevropa tiklanish va taraqqiyot bankining O'zbekiston uchun ahamiyati qay darajada ekaniga ikki og'iz izoh berib o'tsangiz.","direktorining birinchi o'rinbosari Abdulla Abduqodirovdan javob olamiz. Abdulla aka, assalomu alaykum. Va alaykum assalom. Kiritilayotgan investitsiyalar nimaga sarflanayotgani haqidagi javobga o'tishdan oldin o'zi umuman Yevropa tiklanish va taraqqiyot bankining O'zbekiston uchun ahamiyati qay darajada ekaniga ikki og'iz izoh berib o'tsangiz.",0.0,0.0,1.0,40,40
721367.wav,uzbek_voice,Keyinchalik esa bosqichma-bosqich boshqa hududlarda joriy etish belgilangan.,Keyinchalik esa bosqichma-bosqich boshqa hududlarda joriy etish belgilangan.,0.0,Keyinchalik esa bosqichma-bosqich boshqa hududlarda joriy etish belgilangan.,Keyinchalik esa bosqichma-bosqich boshqa hududlarda joriy etish belgilangan.,0.0,0.0,1.0,8,8
145100.wav,uzbek_voice,Funksiya kompyuter va mobil qurilmalarda birdek ishlaydi.,Funksiya kompyuter va mobil qurilmalarda birdek ishlaydi.,0.0,Funksiya kompyuter va mobil qurilmalarda birdek ishlaydi.,Funksiya kompyuter va mobil qurilmalarda birdek ishlaydi.,0.0,0.0,1.0,7,7
262455.wav,uzbek_voice,Internetda bunday baliq borligiga ishonishmayapti.,Internetda bunday baliq borligiga ishonishmayapti.,0.0,Internetda bunday baliq borligiga ishonishmayapti.,Internetda bunday baliq borligiga ishonishmayapti.,0.0,0.0,1.0,5,5
183878.wav,uzbek_voice,Xitoy osmonida ulkan olovli shar paydo bo'ldi.,Xitoy osmonida ulkan olovli ishlar paydo bo'ldi.,0.1429,Xitoy osmonida ulkan olovli shar paydo bo'ldi.,Xitoy osmonida ulkan olovli ishlar paydo bo'ldi.,0.1429,0.0435,0.9787,7,7
332729.wav,uzbek_voice,Toshkentda ilk marta turkiy kengashning biznes forumi o'tkaziladi.,Toshkentda ilk marta Turkiya Kengashining biznes forumi o'tkaziladi.,0.25,Toshkentda ilk marta turkiy kengashning biznes forumi o'tkaziladi.,Toshkentda ilk marta Turkiya Kengashining biznes forumi o'tkaziladi.,0.25,0.0606,0.9552,8,8
138029.wav,uzbek_voice,"Shuningdek, Portugaliyada ham futbol bahslariga ruxsat berildi.","Shuningdek, Portugaliyada ham futbol bahslariga ruxsat berildi.",0.0,"Shuningdek, Portugaliyada ham futbol bahslariga ruxsat berildi.","Shuningdek, Portugaliyada ham futbol bahslariga ruxsat berildi.",0.0,0.0,1.0,7,7
21011.wav,it,"Xo'p, undan keyin TypeScript hozirgi kunda eng rivojlanayotgan dasturlash tili hisoblanadi. TypeScript JavaScript ichidagi ma'lumot turlaridan foydalanish uchun ishlatiladi. Bilamiz JavaScript","Xo'p, undan keyin TypeScript hozirgi kunda eng rivojlanayotgan dasturlash tili hisoblanadi. TypeScript JavaScript ichidagi ma'lumot turlaridan foydalanish uchun ishlatiladi. Bilamiz JavaScript",0.0,"Xo'p, undan keyin TypeScript hozirgi kunda eng rivojlanayotgan dasturlash tili hisoblanadi. TypeScript JavaScript ichidagi ma'lumot turlaridan foydalanish uchun ishlatiladi. Bilamiz JavaScript","Xo'p, undan keyin TypeScript hozirgi kunda eng rivojlanayotgan dasturlash tili hisoblanadi. TypeScript JavaScript ichidagi ma'lumot turlaridan foydalanish uchun ishlatiladi. Bilamiz JavaScript",0.0,0.0,1.0,21,21
188927.wav,uzbek_voice,Jeydon Sancho esa o'yindan o'yinga kuchayib bormoqda.,Jeyden Sancho esa o'yindan o'yinga kuchayib bormoqda.,0.1429,Jeydon Sancho esa o'yindan o'yinga kuchayib bormoqda.,Jeyden Sancho esa o'yindan o'yinga kuchayib bormoqda.,0.1429,0.0189,0.9811,7,7
315284.wav,uzbek_voice,Toshkentda Happy Caravan xalqaro turniri boshlandi.,Toshkentda Happy Caravan xalqaro turnira boshlandi.,0.1667,Toshkentda Happy Caravan xalqaro turniri boshlandi.,Toshkentda Happy Caravan xalqaro turnira boshlandi.,0.1667,0.0196,0.9804,6,6
456005.wav,uzbek_voice,Qiz bolani uyda tuqqanligi haqida tushuntirish xati yozib bergan.,Qiz bolani uyida tuqqanligi haqida tushuntirish xarta yozib bergan.,0.2222,Qiz bolani uyda tuqqanligi haqida tushuntirish xati yozib bergan.,Qiz bolani uyida tuqqanligi haqida tushuntirish xarta yozib bergan.,0.2222,0.0462,0.9697,9,9
488714.wav,uzbek_voice,Unda yashirin kuzatishlarni amalga oshirish imkonini beradigan kameralar yo'q.,Unda yashirin kuzatishlarni amalga oshirish imkonini beradigan kameralar yo'q.,0.0,Unda yashirin kuzatishlarni amalga oshirish imkonini beradigan kameralar yo'q.,Unda yashirin kuzatishlarni amalga oshirish imkonini beradigan kameralar yo'q.,0.0,0.0,1.0,9,9
192971.wav,uzbek_voice,Tramp ma'muriyati Keystone neft quvuri qurilishini ma'qulladi.,Tramp ma'muriyati Keystaun neft quvuri qurilishini ma'qulladi.,0.1429,Tramp ma'muriyati Keystone neft quvuri qurilishini ma'qulladi.,Tramp ma'muriyati Keystaun neft quvuri qurilishini ma'qulladi.,0.1429,0.0484,0.9677,7,7
common_voice_uz_28918894.wav,common_voice,Rahmonov esa deyarli his-tuyg'ulardan va odamiylikdan mahrum.,Rahmonov esa deyarli studiyov ulardan va odamiylikdan mahrum.,0.2857,Rahmonov esa deyarli his-tuyg'ulardan va odamiylikdan mahrum.,Rahmonov esa deyarli studiyov ulardan va odamiylikdan mahrum.,0.2857,0.1311,0.918,7,8
common_voice_uz_28893241.wav,common_voice,O'zbek va rus tillarini yaxshi darajada bilish muhim.,O'zbek rus tillarini yaxshi darajada bilishi muhim.,0.25,O'zbek va rus tillarini yaxshi darajada bilish muhim.,O'zbek rus tillarini yaxshi darajada bilishi muhim.,0.25,0.0755,0.9615,8,7
194793.wav,uzbek_voice,Natijada nikohsiz er voqea joyida vafot etdi.,Natijada nikohsiz er voqea joyida vafot etdi.,0.0,Natijada nikohsiz er voqea joyida vafot etdi.,Natijada nikohsiz er voqea joyida vafot etdi.,0.0,0.0,1.0,7,7
863205.wav,uzbek_voice,Hamma o'ziga berilgan hayotni o'zi istaganday yashashga haqli.,Hamma o'ziga berilgan hayotni o'zi istaganda yashashga haqli.,0.125,Hamma o'ziga berilgan hayotni o'zi istaganday yashashga haqli.,Hamma o'ziga berilgan hayotni o'zi istaganda yashashga haqli.,0.125,0.0161,0.9919,8,8
155987.wav,uzbek_voice,Shavkat Mirziyoyev Rossiya prezidentiga hamdardlik maktubi yo'lladi.,Shavkat Mirziyoyev Rossiya prezidentiga hamdardlik maktubi yo'lladi.,0.0,Shavkat Mirziyoyev Rossiya prezidentiga hamdardlik maktubi yo'lladi.,Shavkat Mirziyoyev Rossiya prezidentiga hamdardlik maktubi yo'lladi.,0.0,0.0,1.0,7,7
common_voice_uz_29394194.wav,common_voice,Fikrni cheklash uchun uni cheklovchi maxsus usullar o'ylab topildi.,Fikrni cheklash uchun uni cheklovchi maxsus usullar o'ylab topildi.,0.0,Fikrni cheklash uchun uni cheklovchi maxsus usullar o'ylab topildi.,Fikrni cheklash uchun uni cheklovchi maxsus usullar o'ylab topildi.,0.0,0.0,1.0,9,9
323531.wav,uzbek_voice,Shundagina ism-familiya masalasida muammo bo'lmaydi.,Shundagina ism-familiya masalasida muammo bo'lmaydi.,0.0,Shundagina ism-familiya masalasida muammo bo'lmaydi.,Shundagina ism-familiya masalasida muammo bo'lmaydi.,0.0,0.0,1.0,5,5
common_voice_uz_29610254.wav,common_voice,"Birinchidan, kelgusi 5 yilda mehnat unumdorligini kamida 2 marta oshirish uchun sharoit yaratamiz.","Birinchidan, kelgusi 5 yilda mehnat unumdorligini kamida ikki marta oshirish uchun sharoit yaratamiz.",0.0769,"Birinchidan, kelgusi 5 yilda mehnat unumdorligini kamida 2 marta oshirish uchun sharoit yaratamiz.","Birinchidan, kelgusi 5 yilda mehnat unumdorligini kamida ikki marta oshirish uchun sharoit yaratamiz.",0.0769,0.0408,0.9749,13,13
common_voice_uz_28924210.wav,common_voice,"Shunday tizimni bir xillarda ""davlat kapitalizmi"" yoki ""tijoriylashgan sotsializm"" deyishadi.",Shunday tizimni bir xillarda davlat kapitalizmi yoki tijorilashgan sotsializm deyishadi.,0.4,"Shunday tizimni bir xillarda ""davlat kapitalizmi"" yoki ""tijoriylashgan sotsializm"" deyishadi.",Shunday tizimni bir xillarda davlat kapitalizmi yoki tijorilashgan sotsializm deyishadi.,0.4,0.0538,0.9724,10,10
