id,path,predicted_sentence,error_message,error_type
34,00000182.wav,"Masalan, bizlar 20 yoki 15 yil, 10 yil oldin olgan narsa hozir o'sha bizlar o'qigan paytda o'sha paytda standart bo'lgan bo'lsa, lekin hozir studentlarga bu narsa standart bo'lmasligi kerak, yangi ma'lumotlarni. Buni yangi ma'lumotlar qilish uchun menimcha ko'proq ingliz tilini biladigan, ingliz tili bilan bog'liq bo'lishi kerak, chunki",,
35,00000197.wav,"Bu masalani o'sha mikroflorani yo'qligi bolada o'sha kerakli vitaminlarni so'rilmasligi, bolani keyinchalik o'sishi, rivojlanishi, boshqa hammasiga ta'sir qiladi.",,
36,00000200.wav,Shu paytgacha o'zi necha marta antibiotik qabul qilgan? Antibiotik qabul qilasizmi yo'qmi? Yo'q yo'q lekin qabul qilmaganman. 60 marta bo'lsa kerak 20 yilda endi. Noyabrda.,,
37,00000193.wav,"Bizlarda birdaniga mana bugun Toshkent viloyati hokimining nimasini eshitdim-da men. Kuni sizlarda, yo'q, kunimizda emas, nimada chiqdi, O'z news-da chiqqan. Hamma glav vrachlarni ishlari yomon, ishlari bunday, ishlari, endi doktorni boshidan-pastidan uraversa, mana shunday bo'ladi. Siz birinchi doktorga sharoit yaratib berishingiz kerak.",,
38,00000239.wav,ham juda erta bosqichda to'xtatishga harakat qiling. O'zingizni asrang.,,
39,00000225.wav,"to'g'ri muolaja qilayotgan bo'lishi mumkin. Masalan, Yevropada siz antibiotikni hech qachon borib aptekadan ola olmaysiz. Buni uchun obezatelna doktorda",,
40,00000250.wav,Zot aylash bilan birga.,,
41,00000223.wav,"Lekin siz o'sha antibiotikni berganingizda u antibiotik faqat borib turib tomoqqa ta'sir qilmaydi. Bu demak o'sha bergan antibiotigingiz yana uni kuchliligiga qarab turib, o'sha ichakdagi bizga kerak bo'lgan yoki o'sha bolachalarga kerak bo'lgan kerak mikroflorani ham hammasini tozalab tashlaydi.",,
42,00000217.wav,"Men qanday dori yozib bersam borib turib Britaniyani o'sha Shotlandiyasida yo Uelsga borsa, yo bo'lmasa Manchesterdagi boshqa bitta menga o'xshagan yana doktorga kiradi. Meni aytmasligi mumkinda, doktor o'sha bemor aytgan narsalari doktor bilan maniki bir xil chiqadi.",,
43,00000238.wav,"Demak, o'sha o'sha mikrofloralarida antibiotiklarga qarshi chidamlilik paydo bo'lishi. Bu juda ham katta ahamiyatga bo'lgan narsa. Buni chunki mana hozirgi vaqtda",,
44,00000245.wav,deb qanaqa qilibdir o'tkazishganda shuni. Biz o'zimiz xohlab qilganmiz.,,
45,00000266.wav,"bor tajriba bilan yordam berishga, xizmat qilishga tayyorman. Bu sizga shaxs sifatida hurmatimni ham belgisi.",,
46,00000297.wav,Suv toshqinidan zarar ko'rgan 4500 dan ziyod xonadon egalarining har biriga O'zbekiston prezidentidan 40 million so'mlik moddiy yordam berildi.,,
47,00000256.wav,"qurilish ta'mirdan chiqdi. Ya'ni investitsion investitsion va boshqa dasturlarga kiritilgan oldi, shuncha maktab qurilish ta'mirdan chiqdi. 55 ta maktab yangi yangidan qurildi.",,
48,00000294.wav,"Klash degani shifrini o'zgartiramiz, ichini polni o'zgartiramiz, yozda salqinni saqlaydigan, qishda issiqni saqlaydigan zamonaviy oynalar qo'yamiz. Birinchi sifat",,
49,00000308.wav,"ahvoli og'ir bo'lib qolgan. Uchta rayon, Mirzobodda, Oqoltinda, Sardobada. Bu 4500 talofat ko'rgan oilani birinchi eng katta masalasi uy-joy.",,
50,00000310.wav,sizlarga proyek yoqqan. Ikkinchidan ko'chib yangi uyga o'tsalaring ham o'z uchastkalaring o'zlaringga qoladi. Tomorqalaring ham qoladi. Kimdir mol boqadi. Keyingi raqam 1800 ta xonadonni tiklashimiz kerak.,,
51,00000328.wav,yil navbatdan tashqari saylov kongressi yopiq deb e'lon qilinadi. E'tiboringiz uchun rahmat.,,
52,00000323.wav,"Konstitutsiyaning 30-moddasining 4-bandiga binoan, prezidentni saylash uchun, agar ikkita yoki undan kam nomzodlar mavjud bo'lsa, berilgan ovozlarning ko'pchiligi, ya'ni 50 foizdan ko'prog'i to'planishi zarurligi belgilandi.",,
53,00000320.wav,"Respublikadagi futbol maktablaridagi har bitta yosh futbolchi nazoratda bo'ladi. U qanaqa shug'ullanyapti, qanaqa ovqatlanayapti, qanaqa kun tartibi qanaqa o'tyapti. Mana shu narsalar jarayon nazorat qilinib,",,
54,00000335.wav,"festivallarga kelmas edi. Bormanglar ham, ko'rmanglar ham, kuymanglar ham. Hamma o'zidan",,
55,00000333.wav,"O'zbekiston futbol assotsiatsiyasi prezidenti lavozimiga assotsiatsiya a'zolari tomonidan kelib tushgan nomzodlar, saylov qo'mitasi a'zolari ishtirokida assotsiatsiya saylov kodeksi va ustuvoriga asosan muvofiqlik tekshiruvi o'tkazildi.",,
56,00000329.wav,"Bu juda ham katta foyda bo'ladi va bu bir tomondan seleksiya ishlarimizga juda ham katta tizim yaratib beradi va ikkinchi tomondan mana klublarimiz, bolalar futbolida ishlayotgan",,
57,00000356.wav,"Birinchi kursni tugatib, akademischeskiy year gap deydi, o'sha paytda qo'pol qilib aytganda o'qish tashlab",,
58,00000311.wav,"bo'lgan tabiiy ofatga befarq bo'lmaganini butun dunyo hamjamiyati ham ko'rib turibdi, tadbirkorlarimiz ham bag'rikeng xalqimiz ham nima yordam kerak bo'lsa, mana shu yordamlarni qilyapti. Boshqa davlatlarni yuborgan yordami ko'rib turibsizlar, butun dunyodan bizga ko'mak",,
59,00000338.wav,"o'tgan safar va'da berdik. O'sha narsani bugundan boshlamoqchi edik, xabar segmentini olib tashlamoqchi edik, lekin bizlarda baribir ham aytmoqchi bo'lgan bitta xabarimiz bor. Eng katta xabar. 14-aprel kuni",,
60,00000342.wav,"konsultant sifatida, hozir kompaniya ichida o'tirib qolyapti. Amalda bajarib kompaniya ichida turib. Xuddi o'sha ish",,
61,00000362.wav,Faqat o'zimni kareram to'g'risida yoki oilam to'g'risida aytib berishim mumkin. Men bilasizmi nimani o'ylab kelayotgandim?,,
62,00000364.wav,"fikrlash o'yinlar bo'ladi birinchi protsessida. Assessment centerlar bo'lardi, hozir menimcha olib tashlashdi assessment centerni. Komanda bo'lib ishlay olasizmi, ishlay olmaysizmi? O'shanga o'xshagan shablonlari bo'ladi.",,
63,00000367.wav,"manisini nimagaligini tushunish juda ham qiziq hozirgi etapda menimcha. His qilish, o'qish bilan his qilishni baribir farqi bor. O'sha baribir 600-yillarga qaytib qolishni men ham xohlagan bo'lardim. Katta rahmat.",,
64,00000358.wav,tashqari biz umid qilayotgan narsa bir yaxshi kompaniya bilan o'tirib maroqli vaqt o'tkazish. Nimalar qilsak bo'ladi? Farhod nima deb o'ylaysiz? Mana offlayn miting birinchi marta biz balki tanigan yo tanimagan odamlar keladi. 25 tacha odam bo'ladi. Biz bilan mayli yana bir 28 ta bo'lar. Ovqat bor.,,
65,00000374.wav,"sal ichkaridagi kuxnyani tushungandan keyin texnikskiy kuchliroqman ularga nisbatan, lekin ular o'zini shunaqangi prezentatsiya qilib beryapti.",,
66,00000375.wav,"bo'lish uchun treningni o'tish kerak. O'sha narsaga juda ham qiziqardim, harakat qilib, qani qanaqa bo'lar ekan, o'sha narsalarni o'rganishga harakat qilib, o'sha yordam bergan deb o'ylayman.",,
67,00000394.wav,zotlarda ko'rishguncha xayr. Katta rahmat Farhod aka. Qanday bo'ldi? Juda ham zo'r bo'ldi lekin. Tez bo'lib ketdi. Bir yarim soat.,,
68,00000409.wav,"Sekin-sekin o'rganib, o'sha aytganimdek kar'yera deganda qanaqadir",,
69,00000376.wav,"Ikkita papkangiz bor. Qani nechtagacha borasiz? Bizning rekordimiz 1250. No pressure. Murodjon kommentariya qilib turadi, siz bemalol boshlayvering. Kommentariya qilganlarim baribir tezlashtirib yuboradi. Ustini bossangiz ketadi. Ketdi mana. Ketdilar.",,
70,00000377.wav,"Open Learning Center degan joy bo'lardi. U paytda Goethe Institutini qoshida kutubxona bo'lardi. O'sha yerga borib yozilib, asosiy self study bo'lardi. O'zimiz o'tirib o'qiyverardik yoki nimadir yordam berishardi. Unaqa dars qilib o'tirilmasdi-da, aslida. Repetitga bormagansiz? Yo'q.",,
71,00000396.wav,"o'sha paytlarda o'zingizni o'zbek tilidan ozgina chiqarib turishingiz kerak. Yaxshi, yaxshi analog bo'ldi. Mana siz ko'p odamlarni intervyu ham qilgansiz Deloitda, Deloitga ishga kirmoqchi bo'lgan odamlarni.",,
72,00000408.wav,"Oylik bilan kompensatsiya qilib beradi shu tarafni. O'zi barcha 4 partnerlari ham, ham boshqaruvi ham biladi. Bu juda ham yaxshi platforma, karerani boshlash uchun, karerangizni yo'lga qo'yib olish uchun juda ham yaxshi platforma. Hamma tushunadi u narsani. O'sha tarafdan olganda",,
73,00000382.wav,"Demak, siz Angliyaga faqat moliyaviy kvalifikatsiya olish uchun, buxgalterlik kvalifikatsiyasi olish uchun, ACCA kvalifikatsiyasini olish uchun kelgan siz. Necha yil o'qigansiz uni olish uchun? 3.5 yil.",,
74,00000423.wav,Xohlagan gapingizni gapirsangiz bo'ladi. Biz xalaqit bermaymiz.,,
75,00000427.wav,Yevropayskiy Londondagi stock exchangeda listed bo'lgan. Uzr boshqa o'zbekchasiga bilmayman qanaqa deyishni. Birjada o'zini aksiyalarini sotadigan bo'lgan. U yerdan olib,,
76,00000440.wav,"O'shani o'zim yig'ishtirib olib, o'shandan keyin bitta imtihon yiqilmaganman. Kontraktlaringizni kim to'lagan? Ish kamaytirgan bo'lsangiz. Uch-mach qilib amallardim yoki O'zbekistonda birinchi boshida O'zbekistondan baribir yordam so'raganman.",,
77,00000443.wav,Har doimgidek qiziq kommentariya savol yo mehmonimizga bir yoki bizga taklifinglar bo'lsa tanlab,,
78,00000439.wav,"Shundan keyin intervyular bo'lgan. Eng oxirgi intervyu nima bor-ku, Alloh farzanding bo'lsa, rizqini o'zi bilan beradi degan. Qizim tug'ilgan ertasi kuni intervyu bo'lgan, offer olganman. Bir kundan keyin. Ajoyib.",,
79,00000424.wav,"bittasi bo'ladi. Tilni yaxshi bilardilar ingliz tilini, kak be zarubezniy kompaniyalar bilan ishlaganlar O'zbekistonda. Shundan kelib chiqqan holda men o'zimga qiziq bo'lgan. Shu yo'nalishda o'zim ham ishlamoqchiman, til o'rganmoqchiman degan niyat bo'lgan. British Council",,
80,00000456.wav,Sabab industriyaga o'tish. Endi birinchi kursga praktika deyiladi.,,
81,00000483.wav,,,
82,00000469.wav,fikringizni yozib bildirishingiz mumkin. Intervyuer sifatida sizni ishingiz ko'proq o'sha savollarni interpretatsiyasini to'g'ri ilg'ab,,
83,00000441.wav,"Undan keyin viza protsess bo'lgan. 2017-yil yanvar oyida oilam bilan, uch oylik qizim bilan ko'chib kelganman. Ko'chib kelganmisiz? Qiyin bo'lmaganmi? Uch oylik qizingiz bo'lgan. Bu yerda yashab ketgansizda, baribir oila bilan ko'chib kelgansizda.",,
84,00000470.wav,"O'shanaqa qilib o'rganganman. O'sha yerda juda ham ko'p o'zimga o'xshagan studentlar, ambitsiyalari bir-biriga to'g'ri keladigan insonlar yig'ilib qolgan. Hammamiz ketamiz o'qishga degan hayol bilan yurganmizda. Nechinchi yil haqida gap ketyapti bu? 2006-yil bo'lsa kerak.",,
85,00000482.wav,jarayon networking jarayon networking o'zingiz yaxshi bilasiz tanish orqali nima deydi ofitsialniy yo'li bilan ham topshirish mumkin veb-saytiga kirib hamma narsasini to'ldirib topshirasiz,,
86,00000464.wav,"Otabek o'sha paytida Deloitte'da ishlardilar. Birinchi intervyuga yetib borish uchun judayam yaxshi yordam bo'lgan. Tavsiya berishgan. Tavsiya berishgan, CV'imni ko'rishgan, yaxshi ekan, shunaqa feedback'lari bor ekan, yaxshi ishlayotgan ekan Deloitte network'ining ichida.",,
87,00000497.wav,Farzandlarimizning huzur-halovatini ko'rmoq nasib etsin. Rahmat.,,
88,00000515.wav,Qizil boylikda baholangan respublika darajasidagi idoralardan eng past ko'rsatkich,,
89,00000514.wav,"Tahlil natijalariga ko'ra eng yopiq deb topilgan, ochiqlik darajasi yomon deb baholangan davlat idoralari qatorida mahalliy hokimliklarning ulushi ancha katta.",,
90,00000518.wav,to'plangan ballarning samaradorlik ko'rsatkichlari metodikada belgilangan tartibga muvofiq foizlarga ajratilib yig'ib olinadi. 71 balldan 100 ballgacha to'plaganlar yaxshi,,
91,00000504.wav,"qisman joylashtirgan bo'lsa, sariq bilan belgilangan ko'rishingiz mumkin, mana 0.5 ball olgan bitta subindikator bo'yicha. Matbuot xizmatlari faoliyati samaradorligini baholash indikatori bo'ladigan bo'lsa, Ichki ishlar vazirligi bu indikator bo'yicha eng yuqori natijani qayd etgan.",,
92,00000539.wav,"dietasiga ovqat yemoqchi bo'lsangiz, masalan vegan mantimiz, nima deydi, qovoqdan bo'lgan. Bu narsalar hammasini oldindan informatsiya tashlashni boshlaganmiz. Ularga email orqali yuborib yoki ko'rgazmalarda ko'rsatib",,
93,00000548.wav,"U kishi aytganki, ChatGPT ni hozir hech narsa qila, ya'ni uni kontrol qila olmaymiz degan.",,
94,00000545.wav,"o'chirishga harakat qildik, lekin masalan bolalar tez ovqat berishsa, o'zbekchilar bir-birimizga sekinroq ber, odam ushlab tur deb, haligi nima deydi? Mana bu yerda ekan gap, sekinroq berish, haligi uch-to'rtta odam qolsaki, sekinlashtiramiz, shunaqa qilib o'chiramiz, shu sababdan Vintovondirlarga ham ular ovqatga",,
95,00000554.wav,"Bu oxirgi mana 10 000 yevrolik daraxtni ekmoqchi bo'lgan joyimiz, Buxoroda bir madaniy yodgorlik hisoblangan bir masjid bor ekan, o'shani maydoni yashillantirish nimasiga o'tgan ekan. Buni endi o'sha yoqqa ekishga qaror qildik, chunki",,
96,00000574.wav,"yangi narsalar e'lon qilingan payti qo'llab-quvvatlashni menimcha hammamiz qilishimiz kerak deb o'ylayman. Albatta, qo'llab-quvvatlaymiz. Albatta, bu bilimni bolalarini",,
97,00000555.wav,"Siljish bor bu sohada, nima deb o'ylaysizlar? Albatta men o'zi informatsion texnologiya bitirganman. Diplomim IT. Angliyaga kelgandan keyin soham o'zgargan. Biz o'qigan paytida to'y.",,
98,00000594.wav,o'zini bir unaqalari bor. Shu sabablar ham ko'p faktor bo'la oladi.,,
99,00000572.wav,"Shu oktyabrda qo'ydik. Oktyabr, noyabr, dekabr, yanvar, fevral, mart, iyunda o'zini mazasini berishni boshlagan. O'zini qoplashni boshladi.",,
100,00000579.wav,"Chunki aytib o'tganimizdek, biz ko'ryapmizki, restoranlar ochilganda hammasi yopilgan. Sen ham shundan bo'lsang, qanday bo'ladi? To yopilib yoki bankrot bo'lib ketsang degani bu agentlar ko'proq shu narsaga e'tibor beradiki, restoranlar",,
101,00000591.wav,"Sovuqqa qarab e'tibor bermaydi. Bular o'rgangan Angliyaning havosiga har doim sovuq yoki qish davomida yomg'ir yog'adi, shamol o'pkatni oladi. U alohida masala o'zi, qishda ham tapchki kiyib yurishadi, qoyil qolaman. Bitta O'zbekistonda nafaqat manti, lag'mon ham qo'shdik bu yil. Lag'mon kiritdik.",,
102,00000621.wav,"olib keting, qo'l qo'yib dedi. Yo'q men bera olmayman bugun, chunki biz ertaga festivalimiz bo'lyapti. Ishim ko'p desam, ajoyib telefon gaplashdik.",,
103,00000608.wav,"Bu narsani ko'rdi va o'zi biz o'zimiz bilan ham o'zimiz ham faxr bilan ko'rsatdik bu narsani. Qarang, mana osh qanaqa ko'rinadi. Osh bir tonna oshdi. Bu Angliyada o'zi bir tonna oshsa, menimcha ham hech kim qilmagan bo'lsa kerak. Katta bir qozonda.",,
104,00000606.wav,"yangiliklar bu yaxshi, lekin daraxtlarni taqdiri haqida aniq bitta gap aytilmadi. Chunki bu loyiha bo'yicha ekilgan daraxtlar aynan o'sha rekonstruksiya qilinadigan joyga to'g'ri kelgan. Umid qilamiz, endi orqa varotdan eshitgan gaplarimiz",,
105,00000662.wav,"Har xil marketlarga shu nechinchi 2008, 2007, yo'q 2018, 2017 ni gapiryapmiz. O'sha paytlarda ko'p yerlarga application tashlaymiz yoki konsepsiyani qilib tashlaymiz.",,
106,00000681.wav,"Xudo umid qilamizki, daraxtlar o'z yerlarida qolib, ekologiyani tozaligiga hissa qo'shadi. Keyingi xabar, oxirgi xabar, menimcha eng zo'r xabar bo'lsa kerak.",,
107,00000783.wav,Bu oshni hajmi o'tgan yilga nisbatan deyarli ikki barobar ko'p edi.,,
108,00000704.wav,"Kattakon rahmat. Sizga bir katta rahmat vaqt ajratib, siz ishlarga bormasdan bizni podkastimiz mehmonimiz bo'lganingizga. Ishlaringizga, niyatlaringizga omad. Ilohim, bundan keyin ham katta-katta yutuqlaringizni ko'rib.",,
109,00000751.wav,"Elektr energiyasi to'lagan pulingizga arziydimi? Arziydi. Yegan pulingizga arziydimi? Arziydi, hech qachon o'chmagan. Arzon arzonlikka svet yo'qda aka.",,
110,00000800.wav,"dispecher bor logistikada ishlayotgan, autsorsda ishlayotgan bolalar ham uje qanaqadir",,
111,00000729.wav,"Xabarlarni o'qib o'zimizcha talqin qilamiz. O'shanga xabardan ham boshlasak. Bitta zo'r xabar o'qidim Otabek aka. O'zbekistonda dating app qilishibdi, ya'ni UKda founderlari O'zbekiston uchun qilishibdi.",,
112,00000778.wav,"Bir-birimizga yordam berib, yaxshi bo'lib yuramiz. O'zbekistondagi raqobat bu baribir endi nima desa bo'lar ekan. Normalniy narsa. Yomon emas. Bir Nodirbek yutadi, bir men yutaman. Sport o'zi hech qachon bitta odam yutavermaydi. Bu bor narsa. Men bu narsaga ancha oldin ko'nikkanman.",,
113,00000810.wav,"Endi uchinchi challenge bu yerda to'g'risi vaqtni to'g'ri taqsimlash, time management desa bo'ladi.",,
114,00000791.wav,"texnologiya boshladi rivojlandi, o'shaning uchun biz an'anaviy maktab tizimi emas yoki universitet tizimi emas, individual yana o'sha onlayn texnika bilan ta'limni aralashtiradigan bir sistema qilish kerak degan gap bor. Shunga munosabatingizni bilsam, keyin aytmoqchi bo'lgan pointimni aytaman.",,
115,00000812.wav,"bilan bog'liq bitta-ikkita savollarga aniqlik kiritmoqchi edim. Albatta, sizning shogirdlaringiz ko'p, talabalar ko'p.",,
116,00000754.wav,"Endi sal arzonroq bo'lishni xohlar edim, men uchun normalniy. Bilmadim. Hamma o'chirishmasa endi Toshkentda. O'sha taklif o'sha bo'lsin. Endi masalan, chetga-chekka viloyatlarda ham ko'proq svet o'chayapti.",,
117,00000840.wav,U konservativ diplomatiya ketaveradi. U yerda biz nima qila olamiz? Sal smart qilib berishimiz mumkin. Ya'ni u yerda,,
118,00000824.wav,keyin hozirgi kelib pochti 40% dan oshgan hozir ya'ni bo'qayotgan millionta odam bitirsa 400 000 tasini kirib ketadi degani.,,
119,00000807.wav,"O'qituvchilar qarshi bunga. O'qituvchilar tushunmayapti, paka bizlarda. Umuman, nafaqat bizda degani O'zbekistonni aytmayapman, umuman ko'p professorlar mana bu yerda Kembridjda o'qiyotganimizda ham professorlar bilan gaplashyapmiz. Kecha University of Londonda professor bilan gaplashdim.",,
120,00000859.wav,bilan kelishib vaqtda juda ajoyib suhbat bo'ldi va o'ylashimcha qo'limdan kelgancha javob berishga harakat qildim. Hamma javobim,,
121,00000857.wav,"ham beradi. O'qituvchi AI kontrol qiladi, to'g'ri dars berayotganini.",,
122,00000832.wav,"vapshe bosardida va keyin aytyapman shu oxirgi mana shu anaqa sekinlashganimni o'zim ham sezdim va mana shu narsa o'zi tashqaridan bu narsa bilinmagandir, men o'zim ichimdan shu narsani his qilishni boshladim.",,
123,00000860.wav,"Bunga sabab sifatida birinchidan mana haqiqatdan universitetlarning ko'paygani, saviyasi tushgani, chetga chiqib o'qish imkoniyati paydo bo'lgani va o'zi umuman o'qish shartmi degan anaqani o'rtaga qo'ygan. Bularga sizni fikringiz nima?",,
124,00000868.wav,"Ya'ni bildim, men sekin o'zgarishim kerak. Men o'zi yangi challenge kerak menga. Men mana chastniy, poluchastniy, polumejduнародный, poludavlat sektori ko'rdim. 100% davlatnikini ham bitta ko'radigan vaqt keldi shunda.",,
125,00000874.wav,"Qani chuqurroq temalarga kiramiz, yo'q demasangiz, Muzaffar aka, oliy ta'lim masalasi, umuman olganda, O'zbekistondan boshlaylik, mayli. O'zbekistonda oliy ta'limga qiziqish kamayapti degan",,
